filename|text
segment_1176.wav|Երբ Բիլբոն վերջապես աչքերը բացեց, ապա նույնիսկ չհասկացավ՝ բացե՞լ է արդյոք․ շուրջն անթափանց խավար էր
segment_1177.wav|Մոտակայքում ոչ մի շունչ։ Պատկերացրեք, թե Բիլբոն ինչպես վախեցավ
segment_1178.wav|Ոչինչ չէր լսում, ոչինչ չէր տեսնում և ոչինչ չէր զգում, բացի իր տակի սառը քարե հատակից
segment_1179.wav|Մեծ դժվարությամբ նա վեր կացավ չորեքթաթ և սողաց, մինչև շոշափեց թունելի պատը
segment_1180.wav|Ոչ գոբլինների ձայն էր լսվում, ոչ էլ թզուկների, նրա գլուխը պտտվում էր, նույնիսկ չէր կարող որոշել, թե որ կողմն էին վազում իր ընկնելուց առաջ
segment_1181.wav|Ընտրելով, ինչպես նրան թվաց, ճիշտ ուղղությունը, նա այդպես էլ չորեքթաթ սողաց բավական երկար, մինչև ձեռքերը դիպավ փոքրիկ սառը մետաղյա մի մատանու, որն ընկած էր գետնին
segment_1182.wav|Դա շրջադարձային պահ էր նրա կյանքում, բայց ինքը դեռ այդ բանը չգիտեր
segment_1183.wav|Մեքենայորեն նա մատանին դրեց գրպանը՝ հիմա դա իրեն պետք չէր
segment_1184.wav|Հետո նստեց սառը հատակին և երկար ժամանակ ընկավ դառը խոհերի գիրկը
segment_1185.wav|Նա պատկերացրեց, թե ինչպես է խոզի մսով ձվածեղ անում իր տանը
segment_1186.wav|Ստամոքսը վաղուց էր ակնարկում նրան, որ կուշտ ուտելու ժամանակն է, և սովից իրեն էլ ավելի դժբախտ էր զգում
segment_1187.wav|Նա չէր կարողանում հասկանալ, թե ինչ պետք է անի, չէր կարող հիշել, թե ինչու են իրեն մենակ թողել, այդ դեպքում ինչու գոբլինները իրեն չեն տարել, ինչպես նաև՝ թե ինչու է իր գլուխն այսպես ցավում
segment_1188.wav|Ախր պատճառն այն էր, որ ինքը նետվեց անկյունը ու մնաց իր համար մթության մեջ ընկած
segment_1189.wav|Ինչպես ասում են՝ աչքից հեռու… սրտից հեռու
segment_1190.wav|Որոշ ժամանակ հետո նա գրպանում շոշափեց ծխամորճը․ լավ է, չէր կոտրվել
segment_1191.wav|Հետո քիսան հանեց, այնտեղ մի քիչ ծխախոտ էր մնացել՝ էլի մի բան էր
segment_1192.wav|Հետո գրպանները քրքրեց և ոչ մի տեղ լուցկի չգտավ
segment_1193.wav|Նրա երազները հօդս ցնդեցին
segment_1194.wav|Մի քիչ մտածելով, ճիշտ է, նա որոշեց, որ այդպես նույնիսկ ավելի լավ է
segment_1195.wav|Աստված գիտե, թե ինչի կհասցներ լուցկու չրթոցը և ծխախոտի հոտը
segment_1196.wav|Ո՞վ կհարձակվեր նրա վրա այդ սև անցուղիներից։ Բայց այնուամենայնիվ լուցկու բացակայությունը մի պահ նրան վշտացրեց
segment_1197.wav|Շուրջն ափլփելիս՝ նրա ձեռքը կպավ դաշույնի կոթին, որ վերցրել էր տրոլների քարանձավից և որի մասին բալորովին մոռացել էր
segment_1198.wav|Լավ է, որ գոբլինները չեն նկատել․ դաշույնը խրված էր գոտու տակ
segment_1199.wav|Բիլբոն դաշույնը հանեց պատյնաից, և այն թույլ լուսավառվեց մթության մեջ
segment_1200.wav|«Ուրեմն սա էլ էլֆերի սարքածն է,― մտածեց Բիլբոն,― իսկ գոբլինները չնայած մոտիկ չեն, բայց այնքան էլ հեռու չեն»
segment_1201.wav|Նա մի քիչ հանգստացավ։ Այնուամենայնիվ, շատ լավ է, երբ մոտդ զենք ունես, որ պատրաստված է Գոնդոլինում՝ գոբլինների դեմ պատերազմելու համար, որի մասին այնքան երգեր են երգվել
segment_1202.wav|Նա արդեն նկատել էր, որ գոբլինները, էլֆերի զենքը տեսնելով, իսկույն իրենց կորցնում էին
segment_1203.wav|«Ե՞տ գնալ,― մտածեց նա։ ― Բացառված է
segment_1204.wav|Կողքի՞։ Անիմաստ է։ Առա՞ջ
segment_1205.wav|Միակ խելացի բանը
segment_1206.wav|Այսպես, ուրեմն, առաջ»
segment_1207.wav|Նա ոտքի ելավ և դանդաղ քարշ գալով շարժվեց առաջ, մի ձեռքով դաշույնը բռնած, մյուսով պատերին հենվելով
segment_1208.wav|Նրա սիրտը թպրտում էր ու դողդողում, այո
segment_1209.wav|Բիլբոն արտակարգ դժվար վիճակի մեջ հայտնվեց
segment_1210.wav|Բայց դուք պետք է հիշեք, որ դա նրա համար ավելի նվազ դժվար էր, քան ասենք ինձ համար կամ ձեզ համար
segment_1211.wav|Հոբիտներն, այնուամենայնիվ, այն չեն, ինչ մարդիկ
segment_1212.wav|Բացի դրանից, չնայած նրանց բները դուրեկան են, հարմարավետ, լավ օդափոխված և բոլորովին նման չեն գոբլինների թունելներին, հոբիտներն, այնուամենայնիվ, առավել շատ են սովոր ստորգետնյա անցուղիներին, քան մենք, և այնքան էլ հեշտությամբ չեն կորցնում գետնի տակ կողմնորոշվելու ընդունակությունը
segment_1213.wav|Հատկապես, երբ արդեն ուշքի են գալիս գլուխը քարին թրխկացնելուց հետո
segment_1214.wav|Հոբիտները քայլում են անաղմուկ, կարողանում են ճարպկորեն թաքնվել և արագ կազդուրվում են վնասվածքներից ու ընկնելուց
segment_1215.wav|Նրանք իմաստուն առածների ու ասացվածքների անսպառ պաշարներ ունեն, որոնց մասին մարդիկ երբեք չեն լսել կամ վաղուց մոռացել են
segment_1216.wav|Եվ, այնուամենայնիվ, անձամբ ես չէի ուզենա միստր Բեգինսի տեղը լինել
segment_1217.wav|Թվում էր այդ թունելը երբեք չի վերջանա
segment_1218.wav|Շարունակ աջ ու ձախ կողմերի վրա ուրիշ ուղիներ էին գնում
segment_1219.wav|Բիլբոն դրանք տեսնում էր դաշույնի լուսավորության շնորհիվ
segment_1220.wav|Այդ կողմերը նա չէր նայում, միայն շտապում էր առաջ, վախենալով, թե հանկարծ այդտեղից գոբլիններ կամ էլի ինչ֊որ զազրելի արարածներ դուրս կթռչեն
segment_1221.wav|Նա գնում էր հա գնում, առաջ ու առաջ, ներքև հա ներքև
segment_1222.wav|Եվ առաջվա պես ոչ ձեն, ոչ ձուն, միայն հազվադեպ մոտիկից թռչող չղջիկի թևերի թափահարումն էր լսում
segment_1223.wav|Սկզբում նա վախենում էր, բայց հետո դադարեց՝ չղջիկները հաճախ էին թռչում
segment_1224.wav|Չգիտեմ արդեն, թե որքան նա այդպես քարշ եկավ, բայց վերջապես զգաց, որ հոգնել է, ինչպես երբեք․ նրան թվում էր, որ ինքն արդեն անցել է վաղվան և այդպես պետք է քայլի մինչև կյանքի վերջը
segment_1225.wav|Անսպասելի, ոչինչ չկասկածելով, նա չլմփաց ջրի մեջ Բը֊ռ֊ռ
segment_1226.wav|Ջուրը ոնց որ սառույց լիներ
