speaker|source|filename|text
narek_barseghyan|hobbit|segment_1.wav|Ժամանակով գետնի տակ իր բնում մի հոբիտ էր ապրում
narek_barseghyan|hobbit|segment_2.wav|Ոչ թե ինչ֊որ զզվելի կեղտոտ խոնավ բնում որտեղ բոլոր կողմերից որդեր են կախված և գարշելի նամշահոտ է տարածված և ոչ էլ ավազե չոր բնում ուր չգիտես որտեղ նստես և ինչ ուտես
narek_barseghyan|hobbit|segment_3.wav|Ոչ դա հոբիտի բույն էր ուրեմն բարեկարգ
narek_barseghyan|hobbit|segment_4.wav|Բույնը սկսվում էր լուսանցույցի պես անթերի կլոր դռնից որ ներկված էր կանաչ ներկով և ուղիղ կենտրոնում պղնձե փայլուն բռնակ ուներ
narek_barseghyan|hobbit|segment_5.wav|Դուռը դեպի ներս էր բացվում մի երկար միջանցքի մեջ որ նման էր երկաթուղային թունելի բայց առանց ծխի ու մրի և նույնիսկ շատ բարեկարգ այստեղ պատերը փայտամած էին հատակը սալիկապատ էր ու գորգածածկ պատերի տակ փայլուն աթոռներ էին դրված և չորս կողմը կեռիկներ էին կախված վերարկուների ու գլխարկների համար քանի որ հոբիտը հյուրեր շատ էր սիրում
narek_barseghyan|hobbit|segment_6.wav|Թունելը գալարվում էր ավելի ու ավելի հեռու և բավականին խորաում էր բայց չէր հասնում իչպես մի քանի մղոնի վրա ապրող շրջակա բնակիչներն էին անվանում Բլուրի ամենախորքը
narek_barseghyan|hobbit|segment_7.wav|Թունելի երկու կողմերում դռներ էին շատ֊շատ կլոր դռներ
narek_barseghyan|hobbit|segment_8.wav|Հոբիտը աստիճաններով բարձրանալ չէր սիրում ննջարանները լողասենյակները նկուղներն ու մառանները շատ֊շատ մառաններ հանդերձարանները հոբիտը մի քանի սենյակ հատկացրել էր հագուստների պահպանման համար խոհանոցն ու ճաշասենյակները գտնվում էին միևնույն հարկում և դեռ ավելին միևնույն միջանցքում
narek_barseghyan|hobbit|segment_9.wav|Լավագույն սենյակները ձախ թևի վրա էին և միայն դրանք պատուհաններ ունեին կլոր խորադիր լուսամուտներ որ նայում էին այգուն և դեպի գետն իջնող հեռավոր մարգագետիններին
narek_barseghyan|hobbit|segment_10.wav|Մեր հոբիտը բավականին ունևոր հոբիտ էր Բեգինս ազգանունով
narek_barseghyan|hobbit|segment_11.wav|Բեգինսները Բլուրի շրջակայքում ապրում էին անհիշելի ժամանակներից և շատ հարգարժան ընտանիք էին համարվում ոչ միայն նրա համար որ հարուստ էին այլև որ նրանց երբեք ոչ մի բան չէր պատահում և իրենք էլ իրենց ոչ մի անսպասելի բան թույլ չէին տալիս միշտ կարելի էր նախապես առանց հարցնելու կռահել թե հատկապես ինչ կասի այս կամ այն Բեգինսն այս կամ այն առիթով
narek_barseghyan|hobbit|segment_12.wav|Բայց մենք ձեզ կպատմենք թե ինչպես Բեգինսներից մեկին արկածների մեջ քաշեցին և նա ինքն էլ իր վրա զարմացած սկսեց ամենաանսպասելի բաներ ասել և ամենաանսպասելի արարքներ թույլ տալ
narek_barseghyan|hobbit|segment_13.wav|Գուցե նա կորցրեց հարևանների հարգանքը բայց դրա փոխարեն ձեռք բերեց ի միջի այլոց ինքներդ կտեսնեք վերջ ի վերջո որևէ բան ձեռք բերեց թե ոչ
narek_barseghyan|hobbit|segment_14.wav|Մեր հոբիտի մայրիկը Ի դեպ ինչ բան է հոբիտը
narek_barseghyan|hobbit|segment_15.wav|Երևակայեցեք արժե հոբիտների մասին ավելի մանրամասն պատմել քանի որ մեր ժամանակներում նրանք հազվագյուտ են դարձել և իրենց հեռու են պահում Բարձր ժողովրդից նրանք արդպես են անվանում մարդկանց
narek_barseghyan|hobbit|segment_16.wav|Իրենք ցածրահասակ ժողովուրդ են մոտավորապես մեր կես բոյին և մորուքավոր թզուկներից կարճլիկ
narek_barseghyan|hobbit|segment_17.wav|Հոբիտները մորուք չունեն
narek_barseghyan|hobbit|segment_18.wav|Նրանց մեջ կախարդական ընդհանուր առմամբ նույնպես ոչինչ չկա եթե կախարդական չհամարենք արագ և անշշուկ անհետանալու կարողությունը այն դեպքում երբ ամեն տեսակ անուղեղ անճոռնի լողլողներ ասենք մեզ ու ձեզ նմանները աղմուկ ու շփթփոց են դնում ասես փղեր լինեն
narek_barseghyan|hobbit|segment_19.wav|Հոբիտները ցմփոր են վառ գույներ են հագնում առավելապես կանաչ ու դեղին ոտնաման չեն հագնում որովհետև նրանց ներբանների կաշին բնականից հաստ է իսկ ոտքերը ինչպես և գլուխները ծածկված են տաք գորշ մորթով
narek_barseghyan|hobbit|segment_20.wav|Միայն թե գլխի մորթին գանգուր է
narek_barseghyan|hobbit|segment_21.wav|Հոբիտներն ունեն երկար ճկուն ու թուխ մատներ բարի դեմք ծիծաղում են թավ խուլ ծիծաղով հատկապես ճաշից հետո իսկ նրանք որպես կանոն ճաշում են օրը երկու անգամ եթե հաջողվում է
narek_barseghyan|hobbit|segment_22.wav|Այժմ դուք բավականին բան գիտեք և կարելի է շարունակել
narek_barseghyan|hobbit|segment_23.wav|Ինչպես արդեն ասել եմ մեր հոբիտի այսինքն Բիլբո Բեգինսի մայրը առասպելական Բելադոննա Տուկն էր ծերունի Տուկի Գետի Այն Կողմում այսինքն Բլուրի ստորոտով հոսող գետակի մոտ ապրող հոբիտների գլխավորի երեք արժանահիշատակ դուստրերից մեկը
narek_barseghyan|hobbit|segment_24.wav|Ասեկոսներ էին պտտվում իբրև թե հին֊հին ժամանակներում Տուկերից մեկը էլֆերից է կին առել
narek_barseghyan|hobbit|segment_25.wav|Հիմարություններ են իհարկե բայց Տուկերի բոլոր սերունների մեջ իսկապես էլ ինչ֊որ ոչ լիովին հոբիտային մի բան կար ժամանակ առ ժամանակ Տուկերի տոհմից որևէ մեկը գնում էր արկածներ որոնելու
narek_barseghyan|hobbit|segment_26.wav|Նրանք շատ նրբանկատորեն անհետանում էին և ընտանիքն էլ ջանում էր կոծկել այդ բանը
narek_barseghyan|hobbit|segment_27.wav|Բայց փաստը մնում էր փաստ
narek_barseghyan|hobbit|segment_28.wav|Տուկերը այնքան պատվարժան չէին հարավում որքան Բեգինսները չնայած ամենափոքր կասկած անգամ լինել չէր կարող ավելի հարուստ էին
narek_barseghyan|hobbit|segment_29.wav|Ճիշտ է չի կարելի ասել թե Բելադոննա Տուկը միստր Բանգո Բեգինսի հետ ամուսնանալուց հետո երբևէ արկածներ է որոնել
narek_barseghyan|hobbit|segment_30.wav|Բանգոն մեր վիպակի հերոսի հայրը կնոջ համար մասամբ և նրա փողերով շքեղ հոբիտական բույն կառուցեց որից շքեղը չկար ոչ Բլուրի ստորոտում ոչ էլ Բլուրի ետևում ոչ էլ Գետի Այն Կողմում և ապրեցին նրանք այնտեղ մինչև իրենց օրերի վերջը
narek_barseghyan|hobbit|segment_31.wav|Եվ այնուամենայնիվ շատ հավանական է որ Բիլբոն Բելադոննա Տուկի միակ որդին որ արտաքինով ու վարքագծով իր բարեվայելուչ պատկառելի հոր ճիշտ պատճենն էր Տուկիներից ինչ֊որ տարօրինակություն էր ժառանգել որը դրսևորվելու համար առիթ էր հարկավոր
narek_barseghyan|hobbit|segment_32.wav|Այդ առիթը երկար ժամանակ չէր ներկայանում այնպես որ Բիլբո Բեգինսը հասցրեց մեծահասակ հոբիտ դառնալ այսպես հիսունին մոտ
narek_barseghyan|hobbit|segment_33.wav|Նա ապրում էր հոբիտական մի հիանալի բնում որ հայրն էր կառուցել նույն բնում որ այնպես մանրամասնորեն նկարագրեցինք այս գլխի սկզբում և թվում էր թե նա իր տեղից այլևս չի շարժվի
narek_barseghyan|hobbit|segment_34.wav|Բայց այնպես պատահեց որ մի խաղաղ առավոտ այն հեռավոր ժամանակներում երբ աշխարհում շատ ավելի քիչ աղմուկ կար և առավել շատ կանաչ իսկ հոբիտները քանակով շատ էին ու ապրում էին բախտավոր Բիբլո Բեգինսը նախաճաշից հետո կանգնել էր դռան շեմին ու ծխում էր փայտե երկար ծխամորճը այնքան երկար որ համարյա հասնում էր նրա փռչոտ ոտքերին ի դեպ խոզանակով խնամքով սանրած
narek_barseghyan|hobbit|segment_35.wav|Եվ հենց այդ ժամանակ մոտերքով անցնում էր Հենդալֆը
narek_barseghyan|hobbit|segment_36.wav|Հենդալֆը եթե դուք նրա մասին լսած լինեիք գոնե քառորդն այնքանի ինչքան ես եմ լսել իսկ ես լսել եմ ընդամենը մի չնչին մասը այն ամենից ինչ պատմում են նրա մասին ապա դուք նախապատրաստված կլինեիք ամենաանհավանական պատմության համար
narek_barseghyan|hobbit|segment_37.wav|Պատմություններն ու արկածները սնկերի պես աճում էին ամենուրեք որտեղ որ նա հայտնվում էր
narek_barseghyan|hobbit|segment_38.wav|Այս կողմերում նա արդեն վաղուց չէր եղել այսինքն այն օրից ինչ մահացել էր նրա բարեկամ Ծերունի Տուկը և հոբիտներն արդեն մոռացել էին թե Հենդալֆն ինչպիսի արտաքին ունի
narek_barseghyan|hobbit|segment_39.wav|Նա գործով հեռացել էր այն ժամանակ երբ հոբիտները դեռ ձագեր էին այնպես որ այդ առավոտ
narek_barseghyan|hobbit|segment_40.wav|Միամիտ Բիլբոն պարզապես գավազանը ձեռքին մի ինչ֊որ ծերուկ տեսավ
narek_barseghyan|hobbit|segment_41.wav|Ծերուկի գլխին բարձր սրածայր կապույտ գլխարկ էր հագին մոխրագույն երկար թիկնոց արծաթավուն շարֆ հսկայական սև սապոգներ և ուներ նաև երկար գոտկատեղից էլ ներքև իջնող սպիտակ մորուք
narek_barseghyan|hobbit|segment_42.wav|Բարի լույս ձայնեց Բիբլոն ցանկանալով ասել հենց միայն այն որ լույսը բարի է արևը պայծառ փայլում էր և խոտը կանաչին էր տալիս
narek_barseghyan|hobbit|segment_43.wav|Բայց Հենդալֆը նրա վրա մի խիստ հայացք նետեց իր թավ ու գզուզ հոնքերի տակից
narek_barseghyan|hobbit|segment_44.wav|Դրանով ինչ եք ուզում ասել հարցրեց նա
narek_barseghyan|hobbit|segment_45.wav|Ուղղակի ինձ բարի լույս եք մաղթում
narek_barseghyan|hobbit|segment_46.wav|Թե պնդում եք որ այս լույսը բարի է անկախ նրանից ես ինչ կարծիքի եմ այդ մասին
narek_barseghyan|hobbit|segment_47.wav|Թե նկատի ունեք որ այս առավոտ բոլորը պետք է բարի լինեն
narek_barseghyan|hobbit|segment_48.wav|Եվ մեկը և մյուսը և երրորդը պատասխանեց Բիլբոն
narek_barseghyan|hobbit|segment_49.wav|Եվ էլի այսպիսի հրաշալի առավոտյան մաքուր օդում ծխամորճ ծխելը հաճելի է
narek_barseghyan|hobbit|segment_50.wav|Եթե դուք ծխամորճ ունեք նստեք իմ ծխախոտը փորձեք
narek_barseghyan|hobbit|segment_51.wav|Շտապելու հարկ չկա ամբողջ օրը դեռ առջևում է
narek_barseghyan|hobbit|segment_52.wav|Եվ Բիլբոն նստեց դռան մոտ դրված նստարանին ոտքը ոտքին գցեց ու ծխի մի գեղեցիկ օղակաձև գորշ քուլա բաց թողեց որը վերև բարձրացավ ու Բլուրի վրայով լողաց հեռուն
narek_barseghyan|hobbit|segment_53.wav|Հրաշալի է ասաց Հենդալֆը
narek_barseghyan|hobbit|segment_54.wav|Բայց այսօր ժամանակ չունեմ օղակներ բաց թողնելու
narek_barseghyan|hobbit|segment_55.wav|Արկածի մասնակից եմ փնտրում որ ես հիմա կազմակերպում եմ բայց գտնելն այնքան էլ հեշտ չէ
