filename|text
segment_1.wav|Ժամանակով գետնի տակ, իր բնում մի հոբիտ էր ապրում
segment_2.wav|Ոչ թե ինչ֊որ զզվելի, կեղտոտ, խոնավ բնում, որտեղ բոլոր կողմերից որդեր են կախված և գարշելի նամշահոտ է տարածված, և ոչ էլ ավազե չոր բնում, ուր չգիտես որտեղ նստես և ինչ ուտես
segment_3.wav|Ոչ, դա հոբիտի բույն էր, ուրեմն՝ բարեկարգ
segment_4.wav|Բույնը սկսվում էր լուսանցույցի պես անթերի կլոր դռնից, որ ներկված էր կանաչ ներկով և ուղիղ կենտրոնում պղնձե փայլուն բռնակ ուներ
segment_5.wav|Դուռը դեպի ներս էր բացվում, մի երկար միջանցքի մեջ, որ նման էր երկաթուղային թունելի, բայց առանց ծխի ու մրի, և նույնիսկ շատ բարեկարգ․ այստեղ պատերը փայտամած էին, հատակը սալիկապատ էր ու գորգածածկ, պատերի տակ փայլուն աթոռներ էին դրված և չորս կողմը կեռիկներ էին կախված՝ վերարկուների ու գլխարկների համար, քանի որ հոբիտը հյուրեր շատ էր սիրում
segment_6.wav|Թունելը գալարվում էր ավելի ու ավելի հեռու և բավականին խորաում էր, բայց չէր հասնում, իչպես մի քանի մղոնի վրա ապրող շրջակա բնակիչներն էին անվանում Բլուրի ամենախորքը
segment_7.wav|Թունելի երկու կողմերում դռներ էին, շա՜տ֊շա՜տ, կլոր դռներ
segment_8.wav|Հոբիտը աստիճաններով բարձրանալ չէր սիրում․ ննջարանները, լողասենյակները, նկուղներն ու մառանները (շա՜տ֊շա՜տ մառաններ), հանդերձարանները (հոբիտը մի քանի սենյակ հատկացրել էր հագուստների պահպանման համար), խոհանոցն ու ճաշասենյակները գտնվում էին միևնույն հարկում և, դեռ ավելին, միևնույն միջանցքում
segment_9.wav|Լավագույն սենյակները ձախ թևի վրա էին և միայն դրանք պատուհաններ ունեին՝ կլոր խորադիր լուսամուտներ, որ նայում էին այգուն և դեպի գետն իջնող հեռավոր մարգագետիններին
segment_10.wav|Մեր հոբիտը բավականին ունևոր հոբիտ էր՝ Բեգինս ազգանունով
segment_11.wav|Բեգինսները Բլուրի շրջակայքում ապրում էին անհիշելի ժամանակներից և շատ հարգարժան ընտանիք էին համարվում ոչ միայն նրա համար, որ հարուստ էին, այլև, որ նրանց երբեք ոչ մի բան չէր պատահում, և իրենք էլ իրենց ոչ մի անսպասելի բան թույլ չէին տալիս․ միշտ կարելի էր նախապես առանց հարցնելու կռահել, թե հատկապես ինչ կասի այս կամ այն Բեգինսն այս կամ այն առիթով
segment_12.wav|Բայց մենք ձեզ կպատմենք, թե ինչպես Բեգինսներից մեկին արկածների մեջ քաշեցին, և նա, ինքն էլ իր վրա զարմացած, սկսեց ամենաանսպասելի բաներ ասել և ամենաանսպասելի արարքներ թույլ տալ
segment_13.wav|Գուցե նա կորցրեց հարևանների հարգանքը, բայց դրա փոխարեն ձեռք բերեց… ի միջի այլոց, ինքներդ կտեսնեք, վերջ ի վերջո որևէ բան ձեռք բերե՞ց, թե ոչ
segment_14.wav|Մեր հոբիտի մայրիկը… Ի դեպ, ի՞նչ բան է հոբիտը
segment_15.wav|Երևակայեցեք, արժե հոբիտների մասին ավելի մանրամասն պատմել, քանի որ մեր ժամանակներում նրանք հազվագյուտ են դարձել և իրենց հեռու են պահում Բարձր ժողովրդից․ նրանք արդպես են անվանում մարդկանց
segment_16.wav|Իրենք ցածրահասակ ժողովուրդ են, մոտավորապես մեր կես բոյին և մորուքավոր թզուկներից կարճլիկ
segment_17.wav|Հոբիտները մորուք չունեն
